uniprot_id,full_hit_id,evalue,bitscore,domain_start,domain_end,query_start,query_end
Q90WA0,sp|Q90WA0|VKT2_PSETT,1.9e-25,93.6,29,82,0,53
P00974,sp|P00974|BPT1_BOVIN,2e-25,93.5,38,90,0,52
Q90WA1,sp|Q90WA1|VKT1_PSETT,2.5e-25,93.2,29,82,0,53
Q6ITB5,sp|Q6ITB5|VKT1_OXYMI,1.5e-24,90.7,29,82,0,53
Q6ITB6,sp|Q6ITB6|VKT2_OXYSC,1.7e-24,90.5,29,82,0,53
Q6ITB4,sp|Q6ITB4|VKT2_OXYMI,1.7e-24,90.5,29,82,0,53
Q6ITB9,sp|Q6ITB9|VKT3_PSEAU,2e-24,90.3,29,82,0,53
P00975,sp|P00975|IBPS_BOVIN,2e-24,90.3,5,57,0,52
P29216,sp|P29216|A4_MACMU,1.1e-23,88.0,1,53,0,52
P10280,sp|P10280|VKT52_ANESU,1.1e-23,87.9,4,55,1,52
P00993,sp|P00993|IBP_CARCR,1.5e-23,87.5,6,59,0,53
Q6ITB7,sp|Q6ITB7|VKT1_OXYSC,1.6e-23,87.4,29,82,0,53
P04815,sp|P04815|BPT2_BOVIN,1.8e-23,87.2,38,90,0,52
P0DN09,sp|P0DN09|VKT5_ANEVI,1.8e-23,87.2,20,71,1,52
Q9TWG0,sp|Q9TWG0|VKT1_ANESU,1.9e-23,87.2,4,55,1,52
O43291,sp|O43291|SPIT2_HUMAN,2.2e-23,87.0,36,89,0,53
P0DN08,sp|P0DN08|VKT53_ANEVI,2.7e-23,86.7,20,71,1,52
Q9TWF9,sp|Q9TWF9|VKT2_ANESU,4e-23,86.2,4,55,1,52
P0DN12,sp|P0DN12|VKT8_ANEVI,4.8e-23,85.9,20,71,1,52
P0DN11,sp|P0DN11|VKT7_ANEVI,5e-23,85.8,20,71,1,52
P0DMW6,sp|P0DMW6|VKT3A_ACTEQ,5.4e-23,85.7,4,56,0,52
P0DN06,sp|P0DN06|VKT1A_ANEVI,6e-23,85.6,20,71,1,52
P0DMW7,sp|P0DMW7|VKT3B_ACTEQ,7.2e-23,85.3,4,56,0,52
Q8T3S7,sp|Q8T3S7|VKT1_ARAVE,7.5e-23,85.3,26,77,1,52
C1IC50,sp|C1IC50|VKT1_WALAE,1.1e-22,84.8,27,79,0,52
